web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770051588-5087","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","270.00","ดอร์โค ใบมีดโกนซิสเต็ม เพซ 5 โปร แพ็ค 4 ชิ้น","฿319.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/45/88/8801038614045/thumbnail/8801038614045_1-20241016182002-.jpg"
"1770051588-5088","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","95.00","อาดิดาส โปร อินวิซิเบิ้ล 48H แอนตี้-เพอสไปแรนท์ มาร์ค แอนด์ โอเดอะ โพรเทคชั่น โรลออน 50 มล.","฿119.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/72/36/3616303439972/thumbnail/3616303439972_1-20251211173735-.jpg"
"1770051588-5089","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","95.00","อาดิดาส เฟรช 48H แอนตี้-เพอสไปแรนท์ ดราย เฟรชเน็ซ โรลออน 50 มล.","฿119.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/41/36/3616303439941/thumbnail/3616303439941_1-20250116154526-.jpg"
"1770051588-5090","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","29.00","ดีแคช อินทัช บัตเตอร์ มิ้ลค์ แอนด์ ฮันนี่ ลีฟอิน แอนด์ ออน 50 มล.","฿39.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8851144577406/thumbnail/8851144577406_1-20241022113012-.jpg"
"1770051588-5091","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","25.00","ดีแคช อินทัช บัตเตอร์ มิ้ลค์ แอนด์ ฮันนี่ รีแพร์ แคร์ ทรีทเม้นท์ 50 มล.","฿29.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8851144577109/thumbnail/8851144577109_1-20241022113009-.jpg"
"1770051588-5092","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","59.00","ฮารุโบะ ออนเซ็น คอลลาเจน มาส์ก 1 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/89/88/8857126212389/thumbnail/8857126212389_1-20241021090718-.jpg"
"1770051588-5093","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","อามาริท เฟสสปา เฟรชฟรุตมาส์ก พอร์ดีท็อกซิฟายอิ้งแอนด์ไทเทนนิ่ง 1 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/51/88/8857126212051/thumbnail/8857126212051_1-20241021090738-.jpg"
"1770051588-5094","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","อามาริท เฟสสปา เฟรชฟรุตมาส์ก อินเทนส์เอจจิ้งแคร์ 1 แผ่น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/44/88/8857126212044/thumbnail/8857126212044_1-20241021090707-.jpg"
"1770051588-5095","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","534.00","โดฟ ไฮยา เคราติน ชายน์ วิตามิน 1 มล. x 6 ชิ้น แพ็ค 6 แผง","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/71/88/8851932476171/thumbnail/8851932476171_1-20241017171009-.jpg"
"1770051588-5096","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","60.00","อภัยภูเบศร สบู่ก้อนใสแตงกวา 100 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/32/88/8855539004232/thumbnail/8855539004232_1-20241017110158-.jpg"
"1770051588-5097","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","40.00","อภัยภูเบศร มิลค์ แอนด์ ฮันนี่ โซพบาร์ 100 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/52/88/8855539021352/thumbnail/8855539021352_1-20241017110149-.jpg"
"1770051588-5098","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","110.00","อภัยภูเบศร ครีมนวดบอระเพ็ด 300 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8855539021055/thumbnail/8855539021055_1-20241017110138-.jpg"
"1770051588-5099","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","100.00","อภัยภูเบศร แชมพูบอระเพ็ด 300 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/48/88/8855539021048/8855539021048_2-20241017110128-.jpg"
"1770051588-5100","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","300.00","อภัยภูเบศร ผักเบี้ยใหญ่ เซนซิทีฟ บอดี้โลชั่น 150 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/60/88/8855539020560/thumbnail/8855539020560_1-20241017110119-.jpg"
"1770051588-5101","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","15.00","ไบโอวูเมนส์ นิวเทรียนท์ ดราย & ดาเมจ 30 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/51/88/8855140004751/thumbnail/8855140004751_1-20241017171011-.jpg"
"1770051588-5102","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","15.00","ไบโอวูเมนส์ ดีท๊อกซ์ ทรีทเม้นท์ แฮร์ & สแคป เธอราพีมาส์ก 30 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/30/88/8855140008230/thumbnail/8855140008230_1-20241017171014-.jpg"
"1770051588-5103","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","72.00","โดฟ ทรีทเม้นท์ ไฮยา ไบโอติน สตรอง 12 มล. x 6 ซอง","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/88/8851932465526/thumbnail/8851932465526_1-20241017171008-.jpg"
"1770051588-5104","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","120.00","อภัยภูเบศร เจลล้างหน้ามะขาม+น้ำผึ้ง 85 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/91/88/8855539004591/8855539004591_2-20241017110216-.jpg"
"1770051588-5105","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","110.00","อภัยภูเบศร แมงโกสตีน พีล ลิควิด โซพ 250 มล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/35/88/8855539021635/thumbnail/8855539021635_1-20241017110435-.jpg"
"1770051588-5106","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","โจจิ ซีเคร็ท ยัง เฮฟเว่น ออน เอิร์ธ เพอร์ฟูม บอดี้ ไพรเมอร์ 50 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/98/88/8859690409998/thumbnail/8859690409998_1-20241008154642-.jpg"
"1770051588-5107","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","โจจิ ซีเคร็ท ยัง ไบร์ท แอนด์ สมูธ อันเดอร์อาร์ม ครีม 30 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/43/88/8859690407543/thumbnail/8859690407543_1-20241008154635-.jpg"
"1770051588-5108","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","โจจิ ซีเคร็ท ยัง โซ สมูธ บอดี้ แฮร์ รีมูฟเวอร์ ครีม 30 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/71/88/8859690407871/thumbnail/8859690407871_1-20241008154638-.jpg"
"1770051588-5109","https://www.bigc.co.th/category/beauty-personal-care?limit=100","","39.00","โจจิ ซีเคร็ท ยัง ไบรท์ แอนด์ สมูธ อามพิท แฮร์ รีมูฟเวอร์ ครีม 30 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/57/88/8859690407857/thumbnail/8859690407857_1-20241008154639-.jpg"
