web_scraper_order,web_scraper_start_url,pagination-selector,price,data2,image
"1769948089-21","https://www.bigc.co.th/category/beverages?limit=100&page=23","","105.00","บลู เครื่องดื่มผสมวิตามินบี 3 บี 6 และวิตามินบี 12 กลิ่นคาลาแมนซี่ 500 มล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8850389115602/thumbnail/8850389115602_1-20221214235041-.jpg"
"1769948089-22","https://www.bigc.co.th/category/beverages?limit=100&page=23","","33.00","คาพรีซัน น้ำเชอร์รี่ผสมเลมอน 200 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/40/4000177996003/thumbnail/4000177996003_1-20250430165852-.jpg"
"1769948089-23","https://www.bigc.co.th/category/beverages?limit=100&page=23","","79.00","คาพรีซัน น้ำเชอร์รี่และปอมเมกาเนต 330 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/29/40/4000177172629/thumbnail/4000177172629_8.jpg"
"1769948089-24","https://www.bigc.co.th/category/beverages?limit=100&page=23","","312.00","แฟนต้า น้ำอัดลม น้ำแดง 1 ล. x 12 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8855199461178/thumbnail/8855199461178_1-20240923154912-.jpg"
"1769948089-25","https://www.bigc.co.th/category/beverages?limit=100&page=23","","312.00","แฟนต้า น้ำอัดลม น้ำส้ม 1 ล. x 12 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/61/88/8855199461161/thumbnail/8855199461161_1-20240924113850-.jpg"
"1769948089-26","https://www.bigc.co.th/category/beverages?limit=100&page=23","","312.00","โค้ก น้ำอัดลม สูตรไม่มีน้ำตาล 1 ล. x 12 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8855199461079/thumbnail/8855199461079_1-20240923145933-.jpg"
"1769948089-27","https://www.bigc.co.th/category/beverages?limit=100&page=23","","312.00","แฟนต้า น้ำอัดลม น้ำเขียว 1 ล. x 12 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/85/88/8855199461185/thumbnail/8855199461185_1-20240923154940-.jpg"
"1769948089-28","https://www.bigc.co.th/category/beverages?limit=100&page=23","","456.00","โค้ก น้ำอัดลม รสออริจินัล 500 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8855199241015/thumbnail/8855199241015_1-20240923145037-.jpg"
"1769948089-29","https://www.bigc.co.th/category/beverages?limit=100&page=23","","456.00","โค้ก น้ำอัดลม สูตรไม่มีน้ำตาล 500 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/77/88/8855199241077/thumbnail/8855199241077_1-20240923144948-.jpg"
"1769948089-30","https://www.bigc.co.th/category/beverages?limit=100&page=23","","332.00","แฟนต้า น้ำแดง น้ำอัดลมกลิ่นสตรอว์เบอร์รี่ แบบกระป๋อง 325 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8855199232174/thumbnail/8855199232174_1-20240920113356-.jpg"
"1769948089-31","https://www.bigc.co.th/category/beverages?limit=100&page=23","","456.00","สไปรท์ น้ำอัดลม 500 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/67/88/8855199241367/thumbnail/8855199241367-20240924130306-.jpg"
"1769948089-32","https://www.bigc.co.th/category/beverages?limit=100&page=23","","456.00","แฟนต้า น้ำอัดลม น้ำแดง 500 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/76/88/8855199241176/thumbnail/8855199241176_1-20240923152330-.jpg"
"1769948089-33","https://www.bigc.co.th/category/beverages?limit=100&page=23","","219.00","เฟลิซ ชาปรุงสำเร็จรูป ส้มซิตรอน ผสมน้ำผึ้ง 560 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/65/88/8809214408365/thumbnail/8809214408365_1-20240126150432-.jpg"
