web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770050955-18","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","47.00","แจ็กซ์ มันฝรั่งแท่งทอดกรอบ พร้อมซอสมะเขือเทศ 12 ก. แพ็ค 12","฿49.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8851016120693/thumbnail/8851016120693_1-20251111200341-.jpg"
"1770050955-19","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","20.00","ตะวัน ข้าวเกรียบ รสกุ้งกรอบ 56 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/11/88/8850718802111/thumbnail/8850718802111_1-20250619152603-.jpg"
"1770050955-20","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","35.00","เลย์ สแตคส์ มันฝรั่งทอดกรอบแผ่นเรียบ กลิ่นกุ้งมังกรสไปซี่ 65 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/80/88/8850718820580/thumbnail/8850718820580_1-20251219114358-.jpg"
"1770050955-21","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","47.00","เบนโตะ ปลาหมึกอบทรงเครื่อง 4 ก. x 12 ชิ้น","฿49.50","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/88/8850157400114/thumbnail/8850157400114_1-20241002081635-.jpg"
"1770050955-22","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก รสมันฝรั่งแท้ 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/88/8850718714902/thumbnail/8850718714902_1-20260129151608-.jpg"
"1770050955-23","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","47.00","สแน็คแจ็ค ขนมถั่วลันเตาอบกรอบ 15 ก. แพ็ค 12","฿48.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/05/88/8852052420105/thumbnail/8852052420105_1-20250807100536-.jpg"
"1770050955-24","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","47.00","เทสโต มันฝรั่งแท้ทอดกรอบชนิดแผ่นเรียบ รสซอลธ์แอนด์ซาวร์ 11 ก. แพ็ค 12","฿50.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8851004416609/thumbnail/8851004416609_1-20240930144538-.jpg"
"1770050955-25","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","20.00","ตะวัน ข้าวเกรียบ รสหมึกสามรส 56 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/64/88/8850718804764/thumbnail/8850718804764_1-20250619152602-.jpg"
"1770050955-26","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","35.00","เลย์ สแตคส์ มันฝรั่งทอดกรอบแผ่นเรียบ รสมันฝรั่งออริจินัล 65 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/73/88/8850718820573/thumbnail/8850718820573_1-20251219114433-.jpg"
"1770050955-27","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","15.00","ดับเบิ้ลมินต์ เม็ดอมปราศจากน้ำตาล รสสเปียร์มินต์ ขนาด 12.4 ก.","฿22.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/64/95/9555192507864/9555192507864_1-20240520142230-.jpg"
"1770050955-28","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสมันฝรั่งแท้ 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/19/88/8850718714919/thumbnail/8850718714919_1-20260129151657-.jpg"
"1770050955-29","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","55.00","เจ้าสัว ข้าวตังหน้าหมูหยอง 80 ก.","฿60.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/88/8852240010026/thumbnail/8852240010026_1-20230717145900-.jpg"
"1770050955-30","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","38.00","เมนทอส ลูกอม รสผลไม้รวม 100 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/59/89/8990800002859/thumbnail/8990800002859_2.jpg"
"1770050955-31","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","35.00","เลย์ สแตคส์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสซาวครีมและหัวหอม 65 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/97/88/8850718820597/thumbnail/8850718820597_1-20251219114452-.jpg"
"1770050955-32","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","10.00","สแน็คแจ๊ค ขนมถั่วลันเตาอบกรอบ รสดั้งเดิม 30 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/00/88/8852052220200/thumbnail/8852052220200_1-20250722181744-.jpg"
"1770050955-33","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ มันฝรั่งแท้ทอดกรอบแผ่นเรียบ รสเมี่ยงคำครบรส 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/71/88/8850718714971/thumbnail/8850718714971_1-20260129151816-.jpg"
"1770050955-34","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ คลาสสิค รสไข่เค็ม 44 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/09/88/8850718716609/thumbnail/8850718716609_1-20250723170517-.jpg"
"1770050955-35","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","18.00","จิตรลดา นมปรุงแต่งชนิดเม็ด รสหวาน 25 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8850901050015/8850901050015_1-20240520130922-.jpg"
"1770050955-36","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","20.00","ตะวัน ข้าวเกรียบ รสลาบแซ่บ 56 ก.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/37/88/8850718811137/thumbnail/8850718811137_1-20250619152608-.jpg"
"1770050955-37","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","51.00","ยูโร่ ขนมพายสอดไส้ครีมเคลือบช็อกโกแลต ขนาด 18 ก. แพ็ค 12","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8850425003955/8850425003955_3-20240618153832-.jpg"
"1770050955-38","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","103.00","เลย์ ร็อค มันฝรั่งแท้ทอดกรอบแผ่นหยัก รสหมึกย่างฮอตชิลลี่ 48 ก. x 6 ชิ้น","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/40/88/8850718714940/thumbnail/8850718714940_1-20260129151739-.jpg"
"1770050955-39","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","47.00","เทสโต มันฝรั่งแท้ทอดกรอบชนิดแผ่นหยัก รสปูผัดผงกะหรี่ 11 ก. แพ็ค 12","฿50.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/00/88/8851004406600/thumbnail/8851004406600_0-20250723170523-.jpg"
"1770050955-40","https://www.bigc.co.th/category/snacks-and-desserts?limit=100","","38.00","เมนทอส ลูกอม กลิ่นเฟรช โคล่า 100 เม็ด","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/30/89/8935001709930/thumbnail/8935001709930_1-20250815132734-.jpg"
