web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1405","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","4,290.00","โตชิบา ตู้กดน้ำ ถังบน รุ่น RWF-W1917TK(K) สีดำ","฿4,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/69/6939815605114/thumbnail/6939815605114-20241128135848-.jpg"
"1770054171-1406","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,490.00","เสี่ยวหมี่ กาต้มน้ำร้อน","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/69/6970244526793/thumbnail/6970244526793_HL-20240228104815-.jpg"
"1770054171-1407","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","23,990.00","ฟิลิปส์ 4K อัลตร้า สลิม สมาร์ท แอลอีดี ทีวี รุ่น 55PUT6002S ขนาด 55 นิ้ว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/87/8718863013908/thumbnail/8718863013908.jpg"
"1770054171-1408","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","790.00","ไมโครแลป ลำโพง 2.1 BT รุ่น M300BT","฿1,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/36/69/6945198854636/thumbnail/6945198854636.jpg"
"1770054171-1409","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","399.00","ไมโครแลป ลำโพง 2.1 BT รุ่น M106BT","฿990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/99/69/6945198855299/thumbnail/6945198855299.jpg"
"1770054171-1410","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","10,990.00","ฟิลิปส์ ทีวี รุ่น 40PFT5201S DIGITAL","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/02/87/8718863010402/thumbnail/8718863010402.jpg"
"1770054171-1411","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","12,990.00","ฟิลิปส์ สลิม แอลอีดี ทีวี รุ่น 43PFT4002S ขนาด 43 นิ้ว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/22/87/8718863013922/thumbnail/8718863013922.jpg"
"1770054171-1412","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","2,290.00","ฟิลิปส์ หม้อหุงข้าว ระบบคอมพิวเตอร์ รุ่น HD4515/36 ขนาด 1.8 ล.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/87/8710103886655/thumbnail/8710103886655_1-20241029115042-.jpg"
"1770054171-1413","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","945.00","คอมโปร ลำโพง รุ่น CO-2100","฿1,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8857119999013/thumbnail/8857119999013.jpg"
"1770054171-1414","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,298.00","ชาร์ป พัดลมติดผนัง 18 นิ้ว รุ่น PJ-WA181 คละสี","฿1,830.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/55/88/8851456107155/8851456107155_FAN-20230821230622-.jpg"
"1770054171-1415","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","690.00","คอมโปร กล่องรับสัญญาณดิจิตอลทีวี รุ่น T2B","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/29/88/8857111624029/thumbnail/8857111624029_1.jpg"
"1770054171-1416","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","50.00","เอไอเอส ซุปเปอร์ โซเชียล ซิม","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/64/88/8858725154964/thumbnail/8858725154964_1-20241209160713-.jpg"
"1770054171-1417","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,580.00","ลูมิร่า กล้องติดรถยนต์ รุ่น LCDV-007","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/69/6926800191226/thumbnail/6926800191226.jpg"
