web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1456","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","199.00","อาซากิ หูฟังเอียร์โฟนสมอลทอล์ค รีโมทคอนโทรล (Lightning) รุ่น A-K6611MP","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/88/8854949077027/thumbnail/8854949077027_1-20241209165622-.jpg"
"1770054171-1457","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","9,999.00","ซัมซุง Galaxy สมาร์ทโฟน รุ่น A23 5G ขนาด 8/128GB สีดำ","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/58/20/2000007667358/thumbnail/2000007667358_1-20221114140206-.jpg"
"1770054171-1458","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","99.00","ริซซ์ สมอลล์ทอล์ก หูฟังแบบมีสายพร้อมไมค์ รุ่น REX-1204C ขนาดยาว 1 ม. สีขาว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/50/88/8859095882150/thumbnail/8859095882150_1-20230313121532-.jpg"
"1770054171-1459","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","129.00","ริซซ์ สายชาร์จไว 2.4A หัวไลท์นิ่ง รุ่น RCL-20E ขนาดยาว 2 ม.","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/41/88/8859095888541/thumbnail/8859095888541_1-20230313121532-.jpg"
"1770054171-1460","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,398.00","ฮาตาริ พัดลมตั้งพื้น ปรับระดับได้ รุ่น HD-P16M3 ขนาด 16 นิ้ว (สินค้าคละสี ไม่สามารถเลือกได้)","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/84/88/8850918003684/thumbnail/8850918003684.jpg"
"1770054171-1461","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","599.00","ลัคกี้เฟลม เตาแก๊สปิกนิค รุ่น LF-90P สีแดง/ดำ","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/22/88/8858327005022/thumbnail/8858327005022.jpg"
"1770054171-1462","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","149.00","อะเพเซอร์ แฟลชไดร์ฟ รุ่น AH321 ขนาด 32 GB (สินค้าคละสี ไม่สามารถเลือกได้)","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/85/47/4712389893185/thumbnail/4712389893185.jpg"
"1770054171-1463","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","3,190.00","ชาร์ป เครื่องทำน้ำอุ่น รุ่น WH-XHOT6 6,000 วัตต์ สีขาว (ไม่รวมติดตั้ง)","฿3,790.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/34/88/8851456106134/thumbnail/8851456106134_1-20240213152944-.jpg"
"1770054171-1464","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,165.00","โลจิเทค ชุดคีย์บอร์ดและเมาส์ไร้สาย รุ่น MK270R","฿1,190.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/85/00/0097855105585/thumbnail/0097855105585_1-20231024115545-.jpg"
"1770054171-1465","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","379.00","ทาร์กัส เมาส์ไร้สาย รุ่น W600 สีขาว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/48/00/0092636314248/thumbnail/0092636314248_1-20231024120035-.jpg"
